route_id,direction_id,direction,agency_id,agency_name
54-212,1,South,GG,Golden Gate Transit
56-212,0,South,GG,Golden Gate Transit
56-212,1,North,GG,Golden Gate Transit
58-212,0,South,GG,Golden Gate Transit
58-212,1,North,GG,Golden Gate Transit
72X-212,0,South,GG,Golden Gate Transit
72X-212,1,North,GG,Golden Gate Transit
74-212,0,South,GG,Golden Gate Transit
74-212,1,North,GG,Golden Gate Transit
8-212,0,North,GG,Golden Gate Transit
8-212,1,South,GG,Golden Gate Transit
92-212,0,North,GG,Golden Gate Transit
92-212,1,South,GG,Golden Gate Transit
4C-212,0,North,GG,Golden Gate Transit
4C-212,1,South,GG,Golden Gate Transit
54C-212,0,South,GG,Golden Gate Transit
54C-212,1,North,GG,Golden Gate Transit
72-212,0,North,GG,Golden Gate Transit
72-212,1,South,GG,Golden Gate Transit
101-212,0,North,GG,Golden Gate Transit
101-212,1,South,GG,Golden Gate Transit
10901,0,West,MA,Marin Transit
10901,1,East,MA,Marin Transit
10913,0,North,MA,Marin Transit
10913,1,South,MA,Marin Transit
10917,0,North,MA,Marin Transit
10917,1,South,MA,Marin Transit
10897,0,North,MA,Marin Transit
10897,1,South,MA,Marin Transit
10900,0,West,MA,Marin Transit
10900,1,East,MA,Marin Transit
10899,0,West,MA,Marin Transit
10899,1,East,MA,Marin Transit
10902,0,North,MA,Marin Transit
10902,1,South,MA,Marin Transit
10903,0,South,MA,Marin Transit
10903,1,North,MA,Marin Transit
10898,0,South,MA,Marin Transit
10898,1,North,MA,Marin Transit
10904,0,South,MA,Marin Transit
10904,1,North,MA,Marin Transit
10909,0,East,MA,Marin Transit
10909,1,West,MA,Marin Transit
10910,0,South,MA,Marin Transit
10910,1,North,MA,Marin Transit
10911,0,West,MA,Marin Transit
10911,1,East,MA,Marin Transit
10912,0,West,MA,Marin Transit
10912,1,East,MA,Marin Transit
10914,0,East,MA,Marin Transit
10914,1,West,MA,Marin Transit
10915,0,South,MA,Marin Transit
10915,1,North,MA,Marin Transit
10905,0,East,MA,Marin Transit
10905,1,West,MA,Marin Transit
10907,0,East,MA,Marin Transit
10907,1,West,MA,Marin Transit
10908,0,North,MA,Marin Transit
10908,1,South,MA,Marin Transit
10916,0,North,MA,Marin Transit
10916,1,South,MA,Marin Transit
10918,0,West,MA,Marin Transit
10918,1,East,MA,Marin Transit
10924,0,East,MA,Marin Transit
10924,1,West,MA,Marin Transit
10919,0,East,MA,Marin Transit
10919,1,West,MA,Marin Transit
10920,0,South,MA,Marin Transit
10920,1,North,MA,Marin Transit
10923,0,South,MA,Marin Transit
10923,1,North,MA,Marin Transit
10922,0,North,MA,Marin Transit
10922,1,South,MA,Marin Transit
10921,0,North,MA,Marin Transit
10921,1,South,MA,Marin Transit
3,0,Loop,MS,Stanford Marguerite Shuttle
3,1,Inbound,MS,Stanford Marguerite Shuttle
8,0,Inbound,MS,Stanford Marguerite Shuttle
55,0,Inbound,MS,Stanford Marguerite Shuttle
55,1,Loop,MS,Stanford Marguerite Shuttle
20,0,Inbound,MS,Stanford Marguerite Shuttle
20,1,Loop,MS,Stanford Marguerite Shuttle
9,0,Inbound,MS,Stanford Marguerite Shuttle
56,0,Inbound,MS,Stanford Marguerite Shuttle
33,0,Inbound,MS,Stanford Marguerite Shuttle
33,1,Loop,MS,Stanford Marguerite Shuttle
59,0,Inbound,MS,Stanford Marguerite Shuttle
4,0,Inbound,MS,Stanford Marguerite Shuttle
2,0,Inbound,MS,Stanford Marguerite Shuttle
2,1,Loop,MS,Stanford Marguerite Shuttle
36,0,Loop,MS,Stanford Marguerite Shuttle
36,1,Inbound,MS,Stanford Marguerite Shuttle
43,0,Inbound,MS,Stanford Marguerite Shuttle
28,0,Inbound,MS,Stanford Marguerite Shuttle
22,0,Inbound,MS,Stanford Marguerite Shuttle
38,0,Inbound,MS,Stanford Marguerite Shuttle
38,1,Loop,MS,Stanford Marguerite Shuttle
18,0,Loop,MS,Stanford Marguerite Shuttle
18,1,Inbound,MS,Stanford Marguerite Shuttle
2035,0,South,PE,Petaluma Transit
2035,1,Loop,PE,Petaluma Transit
2036,0,South,PE,Petaluma Transit
2036,1,North,PE,Petaluma Transit
2037,0,Loop,PE,Petaluma Transit
2040,0,South,PE,Petaluma Transit
2040,1,Loop,PE,Petaluma Transit
2039,0,East,PE,Petaluma Transit
2039,1,West,PE,Petaluma Transit
9748,0,Unknown,PE,Petaluma Transit
2052,0,Loop,PE,Petaluma Transit
2051,0,South,PE,Petaluma Transit
2051,1,Loop,PE,Petaluma Transit
2049,0,South,PE,Petaluma Transit
2049,1,East,PE,Petaluma Transit
2034,0,North,PE,Petaluma Transit
2034,1,South,PE,Petaluma Transit
5270,0,North,PE,Petaluma Transit
2038,0,Loop,PE,Petaluma Transit
31,0,North,RV,Rio Vista Delta Breeze
31,1,South,RV,Rio Vista Delta Breeze
29,0,East,RV,Rio Vista Delta Breeze
29,1,West,RV,Rio Vista Delta Breeze
SMART,0,Inbound,SA,Sonoma Marin Area Rail Transit
SMART,1,Outbound,SA,Sonoma Marin Area Rail Transit
11113,0,East,SB,San Francisco Bay Ferry
11113,1,West,SB,San Francisco Bay Ferry
11112,0,South,SB,San Francisco Bay Ferry
11112,1,North,SB,San Francisco Bay Ferry
11189,0,West,SB,San Francisco Bay Ferry
11189,1,East,SB,San Francisco Bay Ferry
11188,0,South,SB,San Francisco Bay Ferry
11188,1,North,SB,San Francisco Bay Ferry
11187,0,North,SB,San Francisco Bay Ferry
11114,0,East,SB,San Francisco Bay Ferry
11114,1,West,SB,San Francisco Bay Ferry
11110,0,North,SB,San Francisco Bay Ferry
11110,1,South,SB,San Francisco Bay Ferry
12419,0,South,SB,San Francisco Bay Ferry
12419,1,North,SB,San Francisco Bay Ferry
55,0,South,SC,VTA
55,1,North,SC,VTA
63,0,North,SC,VTA
63,1,South,SC,VTA
73,0,North,SC,VTA
73,1,South,SC,VTA
53,0,North,SC,VTA
53,1,South,SC,VTA
828,0,West,SC,VTA
828,1,East,SC,VTA
901,0,Inbound,SC,VTA
901,1,Outbound,SC,VTA
201,0,East,SC,VTA
201,1,West,SC,VTA
827,0,North,SC,VTA
827,1,South,SC,VTA
103,0,West,SC,VTA
103,1,East,SC,VTA
104,0,East,SC,VTA
104,1,West,SC,VTA
12,0,West,SC,VTA
12,1,East,SC,VTA
120,0,South,SC,VTA
120,1,North,SC,VTA
121,0,South,SC,VTA
121,1,North,SC,VTA
13,0,North,SC,VTA
13,1,South,SC,VTA
