route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,agency_name
Mariners' Island Caltrain Shuttle,CM,Mariners' Island Caltrain Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/27-san-mateo-mariners-island-caltrain,,,Commute.org Shuttles
Bayside BART/Caltrain Shuttle,CM,Bayside BART/Caltrain Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/87-burlingame-bayside-bartcaltrain,,,Commute.org Shuttles
Campus Drive Caltrain Shuttle,CM,Campus Drive Caltrain Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/26-san-mateo-campus-drive-caltrain,,,Commute.org Shuttles
Crocker Park BART/Caltrain Shuttle,CM,Crocker Park BART/Caltrain Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/16-brisbane-crocker-park-bartcaltrain,,,Commute.org Shuttles
Midpoint Caltrain Shuttle,CM,Midpoint Caltrain Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/25-redwood-city-midpoint-caltrain,,,Commute.org Shuttles
Norfolk Caltrain Shuttle,CM,Norfolk Caltrain Shuttle,,,3,http://commute.org/shuttles/routes-and-schedules/28-san-mateo-norfolk-caltrain,,,Commute.org Shuttles
Bus Bridge,CT,Bus Bridge,SamTrans Bus Bridge,,3,,01529d,ffffff,Caltrain
Local,CT,Local,,,2,,c5c5c5,000000,Caltrain
TaSJ-Shuttle,CT,,TaSJ-Shuttle,,3,,69c570,ffffff,Caltrain
Limited,CT,,Limited,,2,,FEF0B5,000000,Caltrain
Special,CT,Special,Special Event Extra Service,,2,,0092ff,ffffff,Caltrain
Bullet,CT,Bullet,Baby Bullet,,2,,E31837,ffffff,Caltrain
DB1,DE,DB1,Dumbarton Express,,3,,,,Dumbarton Express Consortium
DB,DE,DB,Dumbarton Express,,3,,,,Dumbarton Express Consortium
Hollis,EM,Hollis,,,3,https://www.emerygoround.com/standard-service.html,ff0001,ffffff,Emery Go-Round
Hollis North,EM,Hollis North,,,3,https://www.emerygoround.com/commute-service.html,ff0001,ffffff,Emery Go-Round
Hollis South,EM,Hollis South,,,3,https://www.emerygoround.com/commute-service.html,ffb311,000000,Emery Go-Round
North Shellmound,EM,North Shellmound,,,3,https://www.emerygoround.com/commute-service.html,603669,ffffff,Emery Go-Round
South Shellmound/Powell,EM,South Shellmound/Powell,,,3,,9b6bdf,000000,Emery Go-Round
Watergate Express,EM,Watergate Express,,,3,https://www.emerygoround.com/commute-service.html,00a1ea,000000,Emery Go-Round
Shellmound/Powell,EM,Shellmound/Powell,,,3,,5e3767,ffffff,Emery Go-Round
2,FS,2,Solano Town Ctr/FF Vacaville Train Station,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-2/,749e4a,ffffff,Fairfield and Suisun Transit
3,FS,3,FTC/Solano Town Center/Walmart,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-3//,aa3942,ffffff,Fairfield and Suisun Transit
BLUE,FS,BLUE,PH BART/FTC/Vacaville/Dixon/Davis/Sac,Service between Pleasant Hill BART and Sacramento.,3,,165ba2,,Fairfield and Suisun Transit
GX,FS,GX,FTC/El Cerrito Del Norte BART/Suisun City Amtrak,,3,,05bb5e,,Fairfield and Suisun Transit
1,FS,1,FTC/Walmart,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-1/,5587b3,ffffff,Fairfield and Suisun Transit
8,FS,8,Cordelia Library/Oakbrook Dr,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-8/,75488a,ffffff,Fairfield and Suisun Transit
7AT3,FS,7AT3,Green Valley MS,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-7t/,c06b3f,ffffff,Fairfield and Suisun Transit
4,FS,4,Smart & Final/Travis Air Force Base,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-4/,353983,ffffff,Fairfield and Suisun Transit
5,FS,5,FTC/Suisun Senior Center,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-5//,50733e,ffffff,Fairfield and Suisun Transit
7,FS,7,FTC/Solano College/Cordelia Library,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-7/,c06b3f,ffffff,Fairfield and Suisun Transit
7BT,FS,7BT,Solano Town Center,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-7t/,e1a323,000000,Fairfield and Suisun Transit
9,FS,9,Suisun Senior Center/Suisun City Walmart,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-9/,a55828,ffffff,Fairfield and Suisun Transit
7AT,FS,7AT,Rodriguez High School,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-7t/,c06b3f,ffffff,Fairfield and Suisun Transit
6,FS,6,Solano Town Ctr/Suisun Senior Ctr/Lawler Ranch,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-6/,2b579a,ffffff,Fairfield and Suisun Transit
SF,GF,SF,,,4,http://goldengateferry.org/schedules/Sausalito.php,0000FF,FFFFFF,Golden Gate Ferry
LF,GF,LF,,,4,http://goldengateferry.org/schedules/Larkspur.php,0000FF,FFFFFF,Golden Gate Ferry
TF,GF,TF,,,4,,0000FF,FFFFFF,Golden Gate Ferry
