jurs_name,cnty_name,mtc_year,mtc_pda,mtc_tpa,co_vlow_income_dr,co_vlow_income_ndr,co_low_income_dr,co_low_income_ndr,co_mod_income_dr,co_mod_income_ndr,co_above_mod_income,mtc_co_total_units
LIVERMORE,ALAMEDA,2019.0,True,False,72.0,0.0,0.0,0.0,0.0,0.0,68.0,140.0
LIVERMORE,ALAMEDA,2019.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
LOS ALTOS HILLS,SANTA CLARA,2018.0,False,False,0.0,2.0,0.0,3.0,0.0,1.0,11.0,17.0
LOS ALTOS HILLS,SANTA CLARA,2019.0,False,False,0.0,5.0,0.0,6.0,0.0,2.0,39.0,52.0
LOS GATOS,SANTA CLARA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,8.0,6.0,14.0
LOS GATOS,SANTA CLARA,2018.0,False,True,0.0,0.0,0.0,0.0,1.0,1.0,5.0,7.0
LOS GATOS,SANTA CLARA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,20.0,15.0,35.0
MARIN COUNTY,MARIN,2018.0,False,False,1.0,3.0,0.0,0.0,0.0,0.0,26.0,30.0
MARIN COUNTY,MARIN,2019.0,False,False,2.0,1.0,1.0,0.0,0.0,0.0,37.0,41.0
MENLO PARK,SAN MATEO,2018.0,False,False,17.0,6.0,11.0,3.0,0.0,0.0,277.0,314.0
MENLO PARK,SAN MATEO,2018.0,False,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
MENLO PARK,SAN MATEO,2019.0,False,False,0.0,4.0,0.0,2.0,0.0,0.0,1.0,7.0
MENLO PARK,SAN MATEO,2019.0,False,True,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
MENLO PARK,SAN MATEO,2019.0,True,False,0.0,0.0,1.0,0.0,2.0,0.0,21.0,24.0
MILL VALLEY,MARIN,2018.0,False,False,0.0,2.0,0.0,1.0,0.0,3.0,3.0,9.0
MILL VALLEY,MARIN,2019.0,False,False,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0
MILLBRAE,SAN MATEO,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MILLBRAE,SAN MATEO,2019.0,False,False,0.0,1.0,0.0,2.0,0.0,0.0,4.0,7.0
MILLBRAE,SAN MATEO,2019.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
MILPITAS,SANTA CLARA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0
MILPITAS,SANTA CLARA,2018.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0
MILPITAS,SANTA CLARA,2018.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,293.0,293.0
MILPITAS,SANTA CLARA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,96.0,96.0
MILPITAS,SANTA CLARA,2019.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0
MILPITAS,SANTA CLARA,2019.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,481.0,481.0
MONTE SERENO,SANTA CLARA,2018.0,False,False,0.0,2.0,0.0,0.0,0.0,0.0,3.0,5.0
MONTE SERENO,SANTA CLARA,2019.0,False,False,0.0,11.0,0.0,0.0,0.0,1.0,3.0,15.0
MORAGA,CONTRA COSTA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
MORAGA,CONTRA COSTA,2018.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
MORAGA,CONTRA COSTA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0
MORGAN HILL,SANTA CLARA,2019.0,False,False,0.0,0.0,6.0,0.0,0.0,23.0,190.0,219.0
MORGAN HILL,SANTA CLARA,2019.0,False,True,0.0,0.0,1.0,0.0,2.0,0.0,37.0,40.0
MORGAN HILL,SANTA CLARA,2019.0,True,False,2.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0
MORGAN HILL,SANTA CLARA,2019.0,True,True,12.0,0.0,2.0,0.0,0.0,0.0,25.0,39.0
MOUNTAIN VIEW,SANTA CLARA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0
MOUNTAIN VIEW,SANTA CLARA,2018.0,True,False,5.0,0.0,5.0,0.0,0.0,0.0,217.0,227.0
MOUNTAIN VIEW,SANTA CLARA,2018.0,True,True,0.0,0.0,6.0,0.0,0.0,0.0,266.0,272.0
MOUNTAIN VIEW,SANTA CLARA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0
MOUNTAIN VIEW,SANTA CLARA,2019.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0
MOUNTAIN VIEW,SANTA CLARA,2019.0,True,False,49.0,0.0,18.0,0.0,0.0,0.0,229.0,296.0
MOUNTAIN VIEW,SANTA CLARA,2019.0,True,True,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0
NAPA,NAPA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0
NAPA,NAPA,2019.0,False,False,0.0,0.0,2.0,4.0,0.0,5.0,57.0,68.0
NAPA COUNTY,NAPA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0
NEWARK,ALAMEDA,2018.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0
NEWARK,ALAMEDA,2018.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,367.0,367.0
NEWARK,ALAMEDA,2019.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,196.0,196.0
